Source Item Code,Source / product name,FnB inventory identities in group,Proposed canonical inventoryItemId,Canonical product name,Canonical selection reason,Superseded identities,May source-row presence,June source-row presence,Physical locations represented,Physical location names,Count lines to repoint,External-mapping coverage,Material pack/UOM compatibility,Expected valuation delta
02-12210,beef ribeye,4,37cc2574-0ced-497d-8bed-02f97e9726be,Beef - Ribeye,decided on downstream references (10 vs 8),3,Yes,No,4,bay window | main freezer | main walk in | produce walk in,3,2 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
024154,snickers,4,125b53b3-a0ab-4792-b3c0-0b2dd4605277,Snickers,decided on downstream references (18 vs 5),3,Yes,Yes,4,beverage carts | dry storeroom | halfway house | pool cafe,2,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
0285348,beef brisket corned raw,3,46d412c3-6ffb-4f46-88cb-732fcbfeb219,Beef - Brisket Corned - Raw,decided on downstream references (14 vs 5),2,Yes,Yes,3,front reach in freezer | main freezer | main walk in,1,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
03165,focaccia 2 75 half sheetpan,3,b7bdf9ab-3cf6-484b-95c8-f19d98cc2de9,FOCACCIA 2.75# HALF SHEETPAN,decided on downstream references (16 vs 5),2,Yes,Yes,3,bay window | bread reach in | main freezer,1,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
0335259,almond milk 32oz,2,3967fb10-e324-4a4d-a9f9-1de571d77d1b,Almond milk 32oz,decided on downstream references (11 vs 4),1,Yes,Yes,2,main kitchen | main walk in,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
0358608,creamers half and half ind,4,aac3207d-d97f-4e63-8d50-8ed82a78640e,Creamers Half and Half ind.,decided on downstream references (9 vs 8),3,Yes,No,4,bay window | dry storeroom | main kitchen | mens locker room,5,2 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
038075,grits,2,faadfd43-e899-48f6-b1f4-c59bb04300b5,Grits,decided on downstream references (13 vs 5),1,Yes,Yes,2,dry storeroom | main kitchen,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=8,$0.00
040080,cracker lahvosh white 15,2,cd8f109c-7a60-401e-9c22-005e4455b463,"CRACKER LAHVOSH WHITE 15""",decided on downstream references (13 vs 5),1,Yes,Yes,2,bay window | dry storeroom,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=5,$0.00
044057,cracker oyster,3,d2cfa091-8fa3-43d7-b8cb-42fe17a1c6bf,Cracker - Oyster,decided on downstream references (10 vs 8),2,Yes,No,3,bay window | dry storeroom | halfway house,4,2 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
0458275,salt sea flake,2,422bd899-7712-4226-a051-b1f4a52020d1,SALT SEA Flake,decided on downstream references (12 vs 4),1,Yes,Yes,2,dry storeroom | pastry shop,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=kg; source case qty=1,$0.00
052078,peppers jalapeno sliced,3,6de4f19d-916d-431c-9554-ba06720bdc58,Peppers - Jalapeno Sliced,decided on downstream references (10 vs 8),2,No,Yes,3,dry storeroom | halfway house | main walk in,4,2 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=gal; source case qty=1,$0.00
054111,sambal,2,0bbb2c19-db5d-4fa2-af91-48383557339e,Sambal,decided on downstream references (12 vs 5),1,Yes,Yes,2,dry storeroom | main walk in,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=oz; source case qty=1,$0.00
0553170,steak salisbury pty,2,e632e20d-da28-4f42-868f-156fb9a8997b,STEAK SALISBURY PTY,decided on downstream references (10 vs 4),1,Yes,Yes,2,main freezer | main walk in,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
056055,bbq kc masterpeice,4,dea0059b-ed56-4e45-9771-b21401859509,BBQ KC Masterpeice,decided on downstream references (21 vs 5),3,Yes,Yes,4,bay window | cafe | dry storeroom | main walk in,3,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=gal; source case qty=4,$0.00
0566838,beef ground,3,8f679334-0ced-4fc1-a988-ef1a9d406a54,Beef - Ground,decided on downstream references (11 vs 5),2,Yes,Yes,2,main freezer | main walk in,1,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
0587503,pork baby back ribs,2,4598e591-e305-44e8-8c58-ec32a4f7e187,Pork - Baby Back Ribs,decided on downstream references (17 vs 4),1,Yes,Yes,3,bay window | main freezer | main walk in,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
062017,lambruscum,2,763651d8-5116-4d4a-b889-1f391933dcea,LAMBRUSCUM,decided on downstream references (13 vs 4),1,Yes,Yes,2,dry storeroom | main kitchen,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=gal; source case qty=4,$0.00
0651828,balsamic glaze,3,5a64bb42-b113-4e47-95eb-a7a0a9ad9747,Balsamic Glaze,decided on downstream references (16 vs 5),2,Yes,Yes,3,cafe | dry storeroom | main kitchen,2,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
0698118,cheese gorgonzola,3,4db778e5-9194-4cf0-923c-2a36df06038f,Cheese - Gorgonzola,decided on downstream references (16 vs 5),2,Yes,Yes,3,cafe | main walk in | produce walk in,1,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=2,$0.00
07-85275,beef chuck flap,2,1ea52049-d8f6-404a-87a4-59fa26e055a0,Beef - Chuck Flap,decided on downstream references (10 vs 7),1,Yes,No,2,main freezer | main walk in,1,2 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
09-71510,beef eye of round,2,655a9caf-fd42-47cc-8717-00ab5f532864,Beef - Eye of Round,decided on existing historical use (1 vs 0),1,No,Yes,2,main freezer | main walk in,0,2 mapping record(s) across 1 of 2 identity/identities; sibling records=2,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
09-85275,beef chuck flap,2,1ea52049-d8f6-404a-87a4-59fa26e055a0,Beef - Chuck Flap,decided on downstream references (10 vs 7),1,No,Yes,2,main freezer | main walk in,1,2 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
098193,red bull energy drink,4,6c0b2215-8f29-415f-a616-52331eab905b,RED BULL ENERGY DRINK,decided on downstream references (19 vs 5),3,Yes,Yes,4,dry storeroom | grill room | halfway house | mens locker room,2,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=24,$0.00
1000065,chocolate white,2,3cbb8340-994f-479b-b477-6334bd9b7211,Chocolate - White,decided on downstream references (13 vs 5),1,Yes,Yes,2,dry storeroom | pastry shop,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=3,$0.00
10015502,tomato fried green,2,d6b9afdd-34f1-4c1a-a6e6-8fa897724b58,Tomato Fried Green,decided on downstream references (10 vs 7),1,Yes,No,2,main freezer | main kitchen,1,2 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=6,$0.00
100156,san pellegrino,3,92b794c3-677f-48ab-865c-f18b9e6568ac,San Pellegrino,decided on downstream references (10 vs 8),2,Yes,No,3,bay window | dry storeroom | main kitchen,2,2 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
100160,san pellegrino,3,92b794c3-677f-48ab-865c-f18b9e6568ac,San Pellegrino,decided on downstream references (10 vs 8),2,No,Yes,3,bay window | dry storeroom | main kitchen,2,2 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
10019742,pepperoni,3,83aa01b3-047a-430d-99f3-5b462d3bab1d,Pepperoni,decided on downstream references (16 vs 5),2,Yes,Yes,3,bay window | cafe | main walk in,1,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=2,$0.00
10048,miller lite bottled,9,1a3adfe2-5d6b-42ee-afa3-b67e380215a7,Miller - Lite - Bottled,decided on downstream references (39 vs 5),8,Yes,Yes,9,bay window bar | beer cage | beverage carts | grill room | halfway house | liquor cage | member lounge | mens locker room | pool cafe,7,1 mapping record(s) across 1 of 9 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=2,$0.00
1005909,canadian bacon,2,6a3abbca-fd1b-4522-bcbc-10050ae5460e,Canadian Bacon,decided on downstream references (9 vs 8),1,Yes,No,2,main freezer | main walk in,2,2 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
10061871,tofu firm,2,cf36d2dc-9c7f-4460-bd12-42c40715ce69,Tofu - Firm,decided on downstream references (12 vs 4),1,Yes,Yes,2,front reach in freezer | main freezer,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=oz; source case qty=12,$0.00
10081562,cheese blue crumbled,2,c730e4bb-49a1-4916-bdb2-266b414b61e2,Cheese - Blue Crumbled,decided on downstream references (13 vs 5),1,Yes,Yes,2,bay window | produce walk in,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=2,$0.00
10084228,tortilla chip,3,52c71db2-e46d-4458-942a-788672cd233d,Tortilla Chip,decided on downstream references (15 vs 5),2,Yes,Yes,3,cafe | dry storeroom | pool cafe,2,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
10111126,rice noodle,2,d98800aa-cf94-4f8a-8d45-ee6198f5d808,Rice Noodle,decided on downstream references (11 vs 5),1,Yes,Yes,2,cafe | dry storeroom,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=oz; source case qty=30,$0.00
10126,peroni bottled,5,c1bfd3ff-3401-4d65-880b-a14bf874becd,Peroni - Bottled,decided on downstream references (20 vs 5),4,Yes,Yes,5,bay window bar | grill room | liquor cage | member lounge | mens locker room,2,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=6,$0.00
10130,budweiser bottled,9,63549c57-ddb1-4df7-9189-2fbb1f862905,Budweiser - Bottled,decided on downstream references (39 vs 5),8,Yes,Yes,9,bay window bar | beer cage | beverage carts | grill room | halfway house | liquor cage | member lounge | mens locker room | pool cafe,6,1 mapping record(s) across 1 of 9 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
10130750,bagel mini,2,8f8485e0-648f-46d0-b9b8-006f62271baf,Bagel mini,decided on downstream references (12 vs 4),1,Yes,Yes,2,front reach in freezer | main freezer,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=oz; source case qty=150,$0.00
10137744,grapefruit juice white,9,4b4da00b-28a5-4176-aa08-319da44244a0,Grapefruit juice white,decided on downstream references (35 vs 4),8,Yes,Yes,9,bay window | bay window bar | beverage carts | cafe | dry storeroom | halfway house | member lounge | mens locker room | pool cafe,0,1 mapping record(s) across 1 of 9 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=case; source case qty=1,$0.00
1015387,sausage link 1 oz,2,e251ef0c-1623-4f6f-9718-c06eafa1dd13,Sausage link 1 oz,decided on downstream references (12 vs 4),1,Yes,Yes,2,front reach in freezer | main freezer,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
10154293,coke ind,10,94c6fe21-b3be-4755-aa8e-3d618c1b1e9c,Coke - Ind.,decided on downstream references (9 vs 8),9,Yes,No,10,bay window | beverage carts | cafe | dry storeroom | grill room | halfway house | main kitchen | member lounge | mens locker room | pool cafe,8,2 mapping record(s) across 1 of 10 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
10156728,sesame seed,3,412a3247-8f00-4848-84ab-81787eec4d41,Sesame Seed,decided on downstream references (17 vs 5),2,Yes,Yes,3,bay window | dry storeroom | main kitchen,2,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=oz; source case qty=1,$0.00
10158,corona bottled,6,58327401-966d-4d51-8355-448d9b4c789d,Corona - Bottled,decided on downstream references (27 vs 5),5,Yes,Yes,6,bay window bar | beer cage | grill room | liquor cage | member lounge | mens locker room,4,1 mapping record(s) across 1 of 6 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=24,$0.00
10162,corona extra bottled,5,097fd47f-e505-4355-b0a5-4dc10c77afaf,Corona Extra - Bottled,decided on downstream references (19 vs 4),4,Yes,Yes,5,bay window bar | beverage carts | grill room | member lounge | mens locker room,0,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
10163,corona light bottled,5,30a1df98-8dbc-4f15-8745-fdca48cf78e0,Corona - Light - Bottled,decided on downstream references (19 vs 5),4,Yes,Yes,5,bay window bar | beer cage | grill room | member lounge | mens locker room,1,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=24,$0.00
10164810,milk 2,3,e2934980-eddf-4b09-bcba-849339c9a25e,Milk - 2%,decided on downstream references (16 vs 5),2,Yes,Yes,3,bay window | main kitchen | main walk in,2,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=gal; source case qty=4,$0.00
10174634,milk whole,5,fbd0d64f-0f07-47c5-b414-d6967fbbeb8b,Milk - Whole,decided on downstream references (10 vs 8),4,Yes,No,5,bay window | cafe | halfway house | main kitchen | main walk in,7,2 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=gal; source case qty=4,$0.00
10179425,salsa,2,6359ad06-ab0b-4670-85a1-1b5dff2f2e2f,Salsa,decided on downstream references (10 vs 5),1,Yes,Yes,2,cafe | pool cafe,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=gal; source case qty=4,$0.00
10197,blue moon belgian white bottled,6,2f6f6135-e8b4-4560-916b-03c45737155a,Blue Moon - Belgian White - Bottled,decided on downstream references (26 vs 5),5,Yes,Yes,6,bay window bar | beer cage | grill room | liquor cage | member lounge | mens locker room,4,1 mapping record(s) across 1 of 6 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=24,$0.00
10230,budweiser bud light bottled,9,ceaee07a-2821-4d7a-8c00-b91adf33d5e9,Budweiser - Bud Light - Bottled,decided on downstream references (38 vs 5),8,Yes,Yes,9,bay window bar | beer cage | beverage carts | grill room | halfway house | liquor cage | member lounge | mens locker room | pool cafe,7,1 mapping record(s) across 1 of 9 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=oz; source case qty=24,$0.00
10235,coors light canned,4,198b10eb-fae9-47ed-b621-f72247005ec5,Coors Light - Canned,decided on downstream references (20 vs 5),3,Yes,Yes,4,beer cage | beverage carts | halfway house | pool cafe,2,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=24,$0.00
10290,heineken c24 12oz lse,3,8b95ce37-57c7-49a2-9233-b5aacab5ec95,HEINEKEN C24 12OZ LSE,decided on downstream references (16 vs 5),2,Yes,Yes,3,beverage carts | liquor cage | pool cafe,1,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
10292,heineken bottled,7,83705b90-f5c0-4fcb-bcc8-54f922a44f4f,Heineken - Bottled,decided on downstream references (31 vs 5),6,Yes,Yes,7,bay window bar | beer cage | grill room | halfway house | member lounge | mens locker room | pool cafe,5,1 mapping record(s) across 1 of 7 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=24,$0.00
10327,guinness bottled,9,23f30baa-fa1c-4ff2-8f46-9b09620817d8,Guinness - Bottled,decided on downstream references (39 vs 5),8,Yes,Yes,9,bay window bar | beer cage | beverage carts | grill room | halfway house | liquor cage | member lounge | mens locker room | pool cafe,7,1 mapping record(s) across 1 of 9 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=24,$0.00
1033141,son cutrer chard rr rnch 750ml,3,0d3f3c03-4f08-4812-82cb-8a7d5e2c40df,SON CUTRER CHARD RR RNCH 750ML,decided on downstream references (13 vs 4),2,Yes,Yes,3,bay window bar | liquor cage | member lounge,0,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
10425,sam adams winter lager kegged,3,5287dd26-bb34-49dd-84e6-38969a364fec,Sam Adams - Winter Lager - Kegged,decided on downstream references (13 vs 4),2,Yes,Yes,3,bay window bar | liquor cage | mens locker room,0,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
106811,fairbanks sherry 2005687,2,5fa6e859-7918-4a86-bde2-5ed105d890f4,FAIRBANKS SHERRY - 2005687,decided on downstream references (10 vs 5),1,Yes,Yes,2,liquor cage | main kitchen,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=case; source case qty=6,$0.00
107628,the critic napa cab,5,aa5364e8-6305-4166-b6cd-8d7f3c79a5d1,THE CRITIC NAPA CAB,decided on downstream references (20 vs 5),4,Yes,Yes,5,bay window bar | grill room | liquor cage | member lounge | wine cellar,1,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
10783766,puree raspberry,2,821e7d0a-b865-44e1-bafb-30c8ec1bfa31,Puree - Raspberry,decided on downstream references (10 vs 4),1,Yes,Yes,2,main freezer | pastry shop,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=kg; source case qty=6,$0.00
11017,apples red delicious,3,20d9d5ff-55bb-4250-b60b-9d41162e514c,Apples - Red Delicious,decided on downstream references (10 vs 8),2,No,Yes,3,cafe | halfway house | produce walk in,4,2 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
112419,the macallan 18 year,4,807860fb-5cbc-4aa0-a717-e83face3a894,The Macallan - 18 Year,decided on downstream references (18 vs 5),3,Yes,Yes,4,bay window bar | liquor cage | member lounge | mens locker room,2,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
11274,coors light bottled,6,daeb9758-2933-4287-b2f0-8233ba30537d,Coors Light - Bottled,decided on downstream references (27 vs 5),5,Yes,Yes,6,bay window bar | beer cage | grill room | liquor cage | member lounge | mens locker room,4,1 mapping record(s) across 1 of 6 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=24,$0.00
11286,bombay dry gin,6,50e936c3-3115-4cc1-b6a0-f0ebb97bf1a3,Bombay - Dry Gin,decided on downstream references (26 vs 5),5,Yes,Yes,6,bay window bar | grill room | liquor cage | member lounge | mens locker room | pool cafe,4,1 mapping record(s) across 1 of 6 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lt; source case qty=12,$0.00
11291,bombay sapphire gin,6,8087b34d-0292-4bf3-9f37-bac5b86d60a0,Bombay -  Sapphire Gin,decided on downstream references (25 vs 5),5,Yes,Yes,6,bay window bar | grill room | liquor cage | member lounge | mens locker room | pool cafe,3,1 mapping record(s) across 1 of 6 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lt; source case qty=12,$0.00
11455,yuengling bottled,5,346e0581-ad4b-4529-bedf-b7837ed1c9a6,Yuengling - Bottled,decided on downstream references (24 vs 5),4,Yes,Yes,5,bay window bar | beer cage | grill room | halfway house | mens locker room,3,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
11460,yueng lgr,4,d0f53197-c782-4287-84b8-fbfb7f0c44ae,YUENG LGR,decided on downstream references (20 vs 5),3,Yes,Yes,4,beverage carts | liquor cage | member lounge | pool cafe,3,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
1159946,cheese cheddar shredded,4,d857dd96-fc18-4519-b1ce-7fffe8fd9ec9,Cheese - Cheddar Shredded,decided on downstream references (20 vs 5),3,Yes,Yes,4,cafe | halfway house | main walk in | produce walk in,3,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=4,$0.00
116307,fresca can,9,9bc6cae0-5a21-4047-9a45-c5e6cb3adcd9,Fresca can,decided on downstream references (35 vs 5),8,Yes,Yes,9,bay window bar | beverage carts | cafe | dry storeroom | grill room | halfway house | member lounge | mens locker room | pool cafe,3,1 mapping record(s) across 1 of 9 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
1177847,coke zero cans,10,d8cf4276-7ecd-43fa-9bc2-dffb900cf41a,COKE ZERO CANS,decided on downstream references (38 vs 5),9,Yes,Yes,10,bay window | beverage carts | cafe | dry storeroom | grill room | halfway house | main kitchen | member lounge | mens locker room | pool cafe,3,1 mapping record(s) across 1 of 10 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
1186253,sour cream,2,7b025987-b7be-4773-96cb-d8c386084c2c,Sour Cream,decided on downstream references (13 vs 5),1,Yes,Yes,2,cafe | main walk in,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=4,$0.00
