Purveyor,Category,Source Group,Website,Ordering URL,Portal Status,Order Template / Import Docs,Template / Export Type,Verification Source,Notes,Verified On
The Chefs' Warehouse,Specialty broadline,IFDA,https://www.chefswarehouse.com,https://www.chefswarehouse.com/login/,Verified direct customer portal,,No public template found,https://www.chefswarehouse.com/login/,Portal/app supports order guides and online ordering.,2026-07-13
"Cheney Brothers, Inc.",Broadline,IFDA,https://www.cheneybrothers.com,https://www.cheneycentral.com/,Verified direct customer portal (Cheney Central),https://www.cheneybrothers.com/wp-content/uploads/2021/01/CBI_Sales-Brochure_2021-REV-WEB.pdf,Official guide mentions order-guide data import; no blank template located,https://www.cheneybrothers.com/services/cheney-central/,Cheney Central supports order entry and custom order guides.,2026-07-13
Chick-fil-A Supply,Closed-system / chain supply,IFDA,https://www.cfa-supply.com,,Closed or franchise/system-specific ordering,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Christ Panos Foods Corporation,Broadline / specialty,IFDA,https://www.panosfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
City Line Distributors,Broadline,IFDA,https://www.citylinefoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Cotati Food Service,Broadline,IFDA,https://www.cotatifoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
CRS OneSource,Broadline,IFDA,https://www.crsonesource.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Curtze Food Service,Broadline,IFDA,https://www.curtze.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Dawn Food Products,Bakery ingredients,IFDA,https://www.dawnfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
DBH Distributing / Hunt Brothers Pizza,Closed-system / pizza program,IFDA,https://www.huntbrotherspizza.com,,Closed or franchise/system-specific ordering,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Dennis Food Service,Broadline,IFDA,https://dennisfoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Diaz Wholesale & Manufacturing,Hispanic / specialty broadline,IFDA,https://www.diazfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"DiCarlo Distributors, Inc.",Italian / broadline,IFDA,https://www.dicarlofood.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Distribution Market Advantage,Distributor network,IFDA,https://dmadelivers.com,,Network/cooperative — not an operator ordering portal,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Dot Foods, Inc.",Redistributor,IFDA,https://www.dotfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Driscoll Foods,Broadline,IFDA,https://www.driscollfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Euclid Fish Company,Seafood / specialty,IFDA,https://www.euclidfish.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
EVCO Wholesale Food Corp.,Broadline,IFDA,https://www.evcofoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"F & A Food Sales, Inc.",Specialty / wholesale,IFDA,https://www.fafoodsales.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Federated Foodservice,Distributor network,IFDA,https://www.federatedfoodservice.com,,Network/cooperative — not an operator ordering portal,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Feeser's, Inc.",Broadline,IFDA,https://www.feesers.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Food Supply, Inc.",Broadline / specialty,IFDA,https://www.foodsupply.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Foodist,Online / specialty,IFDA,https://efoodist.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
FoodPRO,Broadline,IFDA,https://www.myfoodpro.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Frosty Acres Brands,Distributor cooperative,IFDA,https://www.frostyacres.com,,Network/cooperative — not an operator ordering portal,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Fuchs Foodservice / Pizza Specialties,Pizza / specialty,IFDA,https://pizzaspecialtiesinc.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
G & C Foods,Redistributor / specialty,IFDA,https://gcfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Ginsberg's Foods,Broadline,IFDA,https://www.ginsbergs.com,https://ginsbergsorder.com/,Verified direct customer portal,,No public template found,https://ginsbergs.com/online-ordering/,Ordering app/portal supports catalog search and ordering-guide management.,2026-07-13
Golbon,Buying group / distributor network,IFDA,https://www.golbon.com,,Network/cooperative — not an operator ordering portal,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Gold Star Foods,K-12 / institutional,IFDA,https://goldstarfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Good Source Solutions, Inc.",Specialty / redistributor,IFDA,https://goodsource.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Gordon Food Service,National broadline,IFDA,https://www.gfs.com,https://gfs.com/en-us/products-services/technology-solutions/gordon-ordering/,Verified ordering platform landing page,https://costguard.zendesk.com/hc/en-us/articles/235436388-Sysco-GFS-PFG-Reinhart-USF-and-Ben-E-Keith-Order-Guides-Importing-and-Exporting,Sample CSV/order-guide format (third party),https://gfs.com/en-us/ideas/gordon-ordering-quick-start-guide/,GFS customers can request an 832 order guide; no official public blank template found.,2026-07-13
Graves Foods / Menu Maker Foods,Broadline,IFDA,https://www.menumakerfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
GS Foods Group,K-12 / institutional,IFDA,https://gsfoodsgroup.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Halsey Foodservice,Broadline,IFDA,https://www.halseyfoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Harbor Foods Group,Broadline / convenience,IFDA,https://www.harborwholesale.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Henry's Foods, Inc.",Broadline,IFDA,https://www.henrysfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Holiday Wholesale, Inc.",Convenience / foodservice,IFDA,https://www.holidaywholesale.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Honor Foods, Inc.",Redistributor,IFDA,https://www.honorfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
HPC Foodservice,Broadline,IFDA,https://www.hpcfs.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
I Supply Company,Convenience / foodservice,IFDA,https://www.isupplyco.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
IFD Foodservice Distributor,Broadline,IFDA,https://www.callifd.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Independent Marketing Alliance,Distributor network,IFDA,https://www.imaforce.com,,Network/cooperative — not an operator ordering portal,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Imler's Poultry,Poultry / specialty,IFDA,https://imlerspoultry.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Jake's Finer Foods,Broadline / specialty,IFDA,https://www.jakesfinerfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Jangbogo Foodbank,Asian / specialty,IFDA,https://jangfood.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
JD Food,Broadline,IFDA,https://jdfood.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Johnson Bros. Bakery Supply,Bakery ingredients,IFDA,https://jbrosbakerysupply.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Jordano's Foodservice, Inc.",Broadline,IFDA,https://jordanos.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"KAST Distributors, Inc.",Broadline,IFDA,https://www.kastdistributors.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Keck's Food Service, Inc.",Broadline,IFDA,https://www.kecksfoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Kohl Wholesale,Broadline,IFDA,https://www.kohlwholesale.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Kuna Foodservice,Broadline,IFDA,https://www.kunafoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Latina Boulevard Foods,Hispanic / specialty,IFDA,https://www.latinaboulevardfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Legacy Food Group,Distributor network,IFDA,https://legacyfoodgroup.com,,Network/cooperative — not an operator ordering portal,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Loffredo Fresh Foods,Produce / broadline,IFDA,https://www.loffredo.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Lumina Foods, LLC",Pizza / specialty,IFDA,https://luminafoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Maximum Quality Foods,Broadline / specialty,IFDA,https://maximumqualityfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"M.J. Kellner Company, Inc.",Broadline,IFDA,https://www.mjkellner.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Maplevale Farms, Inc.",Broadline,IFDA,https://maplevalefarms.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Martin Bros. Distributing Co., Inc.",Broadline,IFDA,https://www2.martinsnet.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
McDonald Wholesale Company,Broadline,IFDA,https://www.mcdonaldwhsl.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"McLane Foodservice, Inc.",National chain / convenience,IFDA,https://www.mclaneco.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Mendez & Co., Inc.",Broadline / Puerto Rico,IFDA,https://www.mendezcopr.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Merchants Grocery Co. Inc.,Convenience / foodservice,IFDA,https://merchants-grocery.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Multi Plus DM Inc.,Specialty / wholesale,IFDA,https://www.multiplusdm.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
National DCP,Closed-system / chain supply,IFDA,https://nationaldcp.com,,Closed or franchise/system-specific ordering,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Navis Food Partners,Distributor network,IFDA,https://navisfood.com,,Network/cooperative — not an operator ordering portal,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Nicholas and Company, Inc.",Broadline,IFDA,https://www.nicholasandco.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Northern Haserot Food Service,Broadline,IFDA,https://www.northernhaserot.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Novick Brothers Corp.,Broadline / institutional,IFDA,https://novickcorp.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Ole Tyme Produce,Produce,IFDA,https://www.oletyme.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Pacific Provisions Hawaii,Broadline / Hawaii,IFDA,https://pacificprovisionshawaii.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Palmer Food Services,Broadline / center-of-plate,IFDA,https://palmerfoods.com,https://palmerfoods.com/order-online/,Verified ordering landing page,,No public template found,https://palmerfoods.com/order-online/,Web and mobile ordering; direct application URL is exposed after account setup.,2026-07-13
Performance Food Group,National broadline,IFDA,https://www.pfgc.com,https://www.performancefoodservice.com/Your-Operation/CustomerFirst,Verified ordering platform landing page (CustomerFirst),https://www.rrgconsulting.com/export-your-performance-net-order-guide.html,CSV order-guide export instructions (third party),https://www.performancefoodservice.com/Your-Operation/CustomerFirst,CustomerFirst includes custom lists/order guides; direct login is account-gated.,2026-07-13
"Phillips Food Service, LLC",Broadline,IFDA,https://phillipsfoodservice.net,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Pratts Foodservice,Broadline,IFDA,https://ww1.pratts.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Prime Source Foods,Center-of-plate / specialty,IFDA,https://www.primesourcefoods.biz,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Quaker Valley Foods, Inc.",Meat / specialty broadline,IFDA,https://www.quakervalleyfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Quality Custom Distribution Services,Closed-system / chain supply,IFDA,https://www.qualitycustomdistribution.com,,Closed or franchise/system-specific ordering,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Quality Food Company,Italian / specialty,IFDA,https://www.qualityfoodcompany.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Royal Food Service,Produce / broadline,IFDA,https://www.royalfoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
RRS Foodservice,Broadline,IFDA,https://www.rrsfoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"S & W Wholesale Foods, LLC",Broadline,IFDA,https://www.s-wfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"S. Abraham & Sons, Inc.",Convenience / foodservice,IFDA,https://www.sasinc.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Sanwa Food Group,Produce / broadline,IFDA,https://sanwagrowers.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Saval Foodservice,Broadline,IFDA,https://savalfoods.com,https://savalfoodservice.cutanddry.com/,Verified direct customer portal,,No public template found,https://www.savalfoods.com/online-ordering,"Cut+Dry portal supports ordering, product discovery and bill payment.",2026-07-13
Scarmardo Foodservice Inc.,Broadline,IFDA,https://www.scarmardofoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Schenck Foods Company,Broadline,IFDA,https://schenckfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Schiff's Food Service, Inc.",Broadline,IFDA,https://www.schiffs.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Scooter's Coffee / Harvest Roasting,Closed-system / coffee chain,IFDA,https://www.harvestroasting.com,,Closed or franchise/system-specific ordering,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
SGC Foodservice,Broadline,IFDA,https://www.sgcfoodservice.com,https://pnet.sgcfoodservice.com/,Verified direct customer portal,,No public template found,https://www.sgcfoodservice.com/mysgc-order-entry/,MySGC/PowerNet ordering options are linked from the public site.,2026-07-13
Shamrock Foods Company,Broadline,IFDA,https://www.shamrockfoods.com,https://m.myshamrock.com/,Verified direct customer portal (MyShamrock),,No public template found,https://www.shamrockfoodservice.com/resources/shamrockorders/,Supports online ordering and customizable sheet-to-shelf order guides.,2026-07-13
Sofo Foods,Italian / broadline,IFDA,https://www.sofofoods.com,https://order.sofofoods.com/pnet/eOrder,Verified direct customer portal,,No public template found,https://www.sofofoods.com/order,Current customers can sign up for online ordering; a Pepper portal also exists.,2026-07-13
Southeastern Food Merchandisers,Broadline / specialty,IFDA,https://www.southeasternfood.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Southwest Traders, Inc.",Broadline / specialty,IFDA,https://www.southwesttraders.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Suisan Company, Limited",Broadline / Hawaii,IFDA,https://www.suisan.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Sutherland's Foodservice, Inc.",Broadline,IFDA,https://www.suthfoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
