Source Item Code,Source / product name,FnB inventory identities in group,Proposed canonical inventoryItemId,Canonical product name,Canonical selection reason,Superseded identities,May source-row presence,June source-row presence,Physical locations represented,Physical location names,Count lines to repoint,External-mapping coverage,Material pack/UOM compatibility,Expected valuation delta,exclusion_reason,margin_gap,sibling_mapping_records
SWORD SINGL EYE BLO S/OFF TENDERLOIN FILT MIGNON,swordfish,2,4701d05d-48fe-4e78-9b1d-f6ed711d5aa1,Swordfish,decided on downstream references (10 vs 4),1,Yes,Yes,2,bay window bar | fish file,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,6,0
WAHOO LOIN FRESH HAND-CUT SK/OFF,wahoo,2,62bca02b-162a-4040-b845-582987fa3a66,Wahoo,decided on downstream references (10 vs 4),1,Yes,Yes,2,bay window | main walk in,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,6,0
"WS - MIXED VARIETY, 5#",fungi 2 8 assorted gourmet mushroom varieties primo grade 5lbs,2,d62663cc-bc60-405e-b456-44e5e4b20749,"Fungi 2-8 ASSORTED GOURMET MUSHROOM VARIETIES, PRIMO GRADE - 5LBS",decided on downstream references (13 vs 5),1,Yes,Yes,2,bay window | produce walk in,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,8,0
[JL] Jerky Bags 3.25 OZ,beef jerky jack links,4,ad1d76e4-3354-45e4-8b6a-120bb5db7d14,Beef - Jerky jack links,decided on downstream references (17 vs 5),3,Yes,Yes,4,beverage carts | dry storeroom | halfway house | pool cafe,1,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00,free_text_source_code,12,0
black grouper fillets,grouper fillet,5,6899692d-95b8-46cf-9bdd-25a761ac210e,Grouper - Fillet,decided on downstream references (10 vs 8),4,No,Yes,5,bay window | cafe | fish file | front reach in freezer | main freezer,7,2 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,2,0
crawfsh tail mt 150-200ct wild mediteranean caught,crawfish,2,8ae953a2-0ad9-4234-80f5-03e7ce0744fb,Crawfish,decided on downstream references (12 vs 4),1,Yes,Yes,2,bay window | main freezer,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,8,0
guinness 4pk,guinness 4pk,2,17c01a25-ce56-4b1b-ba01-f108bab9d7b6,GUINNESS 4PK,decided on downstream references (10 vs 4),1,Yes,Yes,2,bay window bar | liquor cage,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=case; source case qty=1,$0.00,free_text_source_code,6,0
halibut fillet s/on east east coast/canadian wild,halibut fillet,3,a1a2946c-bde5-4f63-a174-32fa3364bbc6,Halibut - Fillet,decided on downstream references (13 vs 4),2,Yes,Yes,3,bay window | fish file | main freezer,0,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,9,0
mahi mahi fillet skin/off wild caught-[sushi] pbo,mahi mahi fillet,3,2b4b7a84-d1d4-449b-b968-2f6456eb1603,Mahi Mahi - Fillet,decided on downstream references (8 vs 7),2,Yes,No,3,fish file | front reach in freezer | main freezer,1,2 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,1,0
oni jum,onions yellow,2,18452813-1dc0-455a-b158-5330c83e2d8a,Onions - Yellow,decided on downstream references (10 vs 8),1,No,Yes,2,cafe | produce walk in,2,2 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,2,0
"pasta : rigatoni egg, extruded",pasta rigatoni,2,ed818e11-5423-4991-a4ef-ac316b09f8ed,Pasta - Rigatoni,decided on downstream references (10 vs 8),1,No,Yes,2,bay window | main freezer,2,2 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,2,0
santa fe spice,santa fe spiced grille room mix single serve bulk case box of 144,3,8e06690b-1dea-47dd-a930-0b205ecbd2a5,SANTA FE SPICED GRILLE ROOM MIX SINGLE SERVE BULK CASE (BOX OF 144),decided on downstream references (13 vs 4),2,Yes,Yes,3,beverage carts | dry storeroom | halfway house,0,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00,free_text_source_code,9,0
"scallops u/10 gallon 8# tub, bill by lb.",scallops u 10,2,ddd0f035-7243-474d-a796-f4e8d0bd33b1,Scallops - U-10,decided on downstream references (11 vs 4),1,Yes,Yes,2,fish file | main walk in,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,7,0
sweet & salty,sweet salty grille room mix single serve bulk case box of 144,3,26773f16-237e-488f-aec8-573b375458e6,SWEET & SALTY GRILLE ROOM MIX SINGLE SERVE BULK CASE (BOX OF 144),decided on downstream references (15 vs 4),2,Yes,Yes,3,beverage carts | dry storeroom | halfway house,0,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00,free_text_source_code,11,0
tuna saku style cut 6-8oz aqua blu 10lb case,tuna,3,8a4705ca-2bf2-44ff-a318-b67b39e4d797,Tuna,decided on downstream references (10 vs 6),2,No,Yes,3,cafe | main freezer | main kitchen,0,2 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,4,0
"wandering bear straight black organic cold brew coffee on tap, iced coffee drink - extra strong, bold, smooth, no sugar added, shelf-stable, ready to drink, 100% organic - 128 fl oz (1 gallon)",cold brew,7,6be3916a-bb00-48c1-a9f0-81eeab09ee4b,Cold Brew,decided on downstream references (27 vs 5),6,Yes,Yes,7,bay window | bay window bar | dry storeroom | grill room | halfway house | main kitchen | member lounge,2,1 mapping record(s) across 1 of 7 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=gal; source case qty=1,$0.00,free_text_source_code,22,0
wild striped bass fillets sk/on fillet from 8+ fish,striped bass fillet,2,48189462-1ee5-4f90-93b5-2ba12e91f812,Striped Bass - Fillet,decided on downstream references (10 vs 4),1,Yes,Yes,2,fish file | main walk in,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,6,0
